
test score: 929.5999999999999, max tile: 256.0

test score: 740.8, max tile: 256.0

test score: 1115.2, max tile: 256.0

test score: 640.8, max tile: 128.0

test score: 876.0, max tile: 128.0

test score: 1451.2, max tile: 256.0

test score: 568.8, max tile: 128.0

test score: 935.2, max tile: 128.0

test score: 1331.2, max tile: 256.0

test score: 1234.4, max tile: 256.0

test score: 991.2, max tile: 256.0

test score: 784.8, max tile: 128.0

test score: 896.0, max tile: 256.0

test score: 1141.6, max tile: 256.0

test score: 1017.5999999999999, max tile: 128.0

test score: 947.2, max tile: 256.0

test score: 1128.0, max tile: 256.0

test score: 1142.4, max tile: 256.0

test score: 1120.8, max tile: 256.0

test score: 741.6, max tile: 256.0

test score: 619.2, max tile: 128.0

test score: 1223.2, max tile: 256.0

test score: 1262.4, max tile: 256.0

test score: 1093.6, max tile: 256.0

test score: 1333.6, max tile: 256.0

test score: 767.2, max tile: 128.0

test score: 835.2, max tile: 128.0

test score: 659.2, max tile: 128.0

test score: 1016.8, max tile: 128.0

test score: 804.8, max tile: 256.0

test score: 530.4, max tile: 128.0

test score: 711.2, max tile: 128.0

test score: 1028.8, max tile: 128.0

test score: 1246.4, max tile: 256.0

test score: 616.8, max tile: 128.0

test score: 994.4000000000001, max tile: 256.0

test score: 1145.6, max tile: 256.0

test score: 783.2, max tile: 256.0

test score: 808.8, max tile: 128.0

test score: 839.2, max tile: 128.0

test score: 1074.4, max tile: 256.0

test score: 1461.6, max tile: 256.0

test score: 1156.8, max tile: 256.0

test score: 1284.0, max tile: 256.0

test score: 804.0, max tile: 128.0

test score: 722.4, max tile: 128.0

test score: 863.2, max tile: 128.0

test score: 664.8, max tile: 128.0

test score: 1120.8, max tile: 256.0

test score: 973.5999999999999, max tile: 256.0

test score: 888.0, max tile: 128.0

test score: 955.2, max tile: 128.0

test score: 839.2, max tile: 128.0

test score: 814.4, max tile: 128.0

test score: 951.2, max tile: 128.0

test score: 788.0, max tile: 128.0

test score: 1191.2, max tile: 128.0

test score: 1181.6, max tile: 256.0

test score: 1048.0, max tile: 256.0

test score: 1209.6, max tile: 256.0

test score: 623.2, max tile: 128.0

test score: 848.8, max tile: 128.0

test score: 680.0, max tile: 128.0

test score: 567.2, max tile: 128.0

test score: 726.4, max tile: 128.0

test score: 914.4000000000001, max tile: 256.0

