
test score: 2324.0, max tile: 512.0, acc: 0.011169579030976966

epoch: 115, loss_vae: 41.13495622506832, loss_dqn: 7.632129221292647, total: 15313, step: 108     
epoch: 116, loss_vae: 41.096952161523255, loss_dqn: 7.633847173417309, total: 15430, step: 117     
epoch: 117, loss_vae: 41.06266869381575, loss_dqn: 7.626372391718285, total: 15526, step: 96     
epoch: 118, loss_vae: 41.00327662759729, loss_dqn: 7.6172216754082545, total: 15707, step: 181     
epoch: 119, loss_vae: 40.9802033979335, loss_dqn: 7.611513836843458, total: 15779, step: 72     
epoch: 120, loss_vae: 40.95197082145603, loss_dqn: 7.6051744643144925, total: 15864, step: 85     
epoch: 121, loss_vae: 40.907642630204634, loss_dqn: 7.591496904389895, total: 15996, step: 132     
epoch: 122, loss_vae: 40.860054123292954, loss_dqn: 7.584530096894597, total: 16154, step: 158     
epoch: 123, loss_vae: 40.83219066167792, loss_dqn: 7.580417750251912, total: 16249, step: 95     
epoch: 124, loss_vae: 40.79168080207207, loss_dqn: 7.573009794827608, total: 16378, step: 129     
epoch: 125, loss_vae: 40.76419021599945, loss_dqn: 7.563965292088948, total: 16462, step: 84     
epoch: 126, loss_vae: 40.741054511331775, loss_dqn: 7.555843125501623, total: 16532, step: 70     
epoch: 127, loss_vae: 40.67573610793155, loss_dqn: 7.536713100816828, total: 16738, step: 206     
epoch: 128, loss_vae: 40.644203171743655, loss_dqn: 7.5316140615407, total: 16847, step: 109     
epoch: 129, loss_vae: 40.608620223854786, loss_dqn: 7.518962094677575, total: 16957, step: 110     
epoch: 130, loss_vae: 40.56295717086542, loss_dqn: 7.508492463433307, total: 17103, step: 146     
epoch: 131, loss_vae: 40.538796088847185, loss_dqn: 7.501916995653779, total: 17182, step: 79     
epoch: 132, loss_vae: 40.493179721085546, loss_dqn: 7.49865792857429, total: 17349, step: 167     
epoch: 133, loss_vae: 40.43101474041474, loss_dqn: 7.4903609873624495, total: 17572, step: 223     
epoch: 134, loss_vae: 40.41026550176952, loss_dqn: 7.4898438032004595, total: 17655, step: 83     
epoch: 135, loss_vae: 40.387717607080425, loss_dqn: 7.492669130366456, total: 17742, step: 87     
epoch: 136, loss_vae: 40.356060014813615, loss_dqn: 7.495142149041507, total: 17864, step: 122     
epoch: 137, loss_vae: 40.3242056195983, loss_dqn: 7.505456944686198, total: 17988, step: 124     
epoch: 138, loss_vae: 40.291077393573445, loss_dqn: 7.504667339185247, total: 18121, step: 133     
epoch: 139, loss_vae: 40.2379425447083, loss_dqn: 7.4994288467194545, total: 18326, step: 205     
epoch: 140, loss_vae: 40.21766811106078, loss_dqn: 7.501180144757992, total: 18415, step: 89     
epoch: 141, loss_vae: 40.18523637578636, loss_dqn: 7.504484321569718, total: 18544, step: 129     
epoch: 142, loss_vae: 40.16506781468316, loss_dqn: 7.503054216282935, total: 18627, step: 83     
epoch: 143, loss_vae: 40.124558902157666, loss_dqn: 7.50799789848852, total: 18803, step: 176     
epoch: 144, loss_vae: 40.10486329204517, loss_dqn: 7.511861794451019, total: 18901, step: 98     
epoch: 145, loss_vae: 40.08411301813125, loss_dqn: 7.517843453696277, total: 18993, step: 92     
epoch: 146, loss_vae: 40.04785752369968, loss_dqn: 7.517114540739702, total: 19164, step: 171     
epoch: 147, loss_vae: 40.022674734500555, loss_dqn: 7.519123062384615, total: 19285, step: 121     
epoch: 148, loss_vae: 40.00158446406697, loss_dqn: 7.516570476394743, total: 19377, step: 92     
epoch: 149, loss_vae: 39.97177871350722, loss_dqn: 7.510595241170333, total: 19505, step: 128     
test score: 2122.2666666666667, max tile: 256.0, acc: 0.6217823450134771

epoch: 150, loss_vae: 39.956336491574724, loss_dqn: 7.510401212038128, total: 19573, step: 68     
epoch: 151, loss_vae: 39.938653605238095, loss_dqn: 7.513906944298036, total: 19654, step: 81     
epoch: 152, loss_vae: 39.92068167003358, loss_dqn: 7.514246035316768, total: 19734, step: 80     
epoch: 153, loss_vae: 39.89073443583509, loss_dqn: 7.514290344624945, total: 19861, step: 127     
epoch: 154, loss_vae: 39.84334928173117, loss_dqn: 7.514642808405, total: 20079, step: 218     
epoch: 155, loss_vae: 39.81689140841557, loss_dqn: 7.5165602824851, total: 20211, step: 132     
epoch: 156, loss_vae: 39.795290732018124, loss_dqn: 7.51672965075089, total: 20312, step: 101     
epoch: 157, loss_vae: 39.77164095259802, loss_dqn: 7.51490875125317, total: 20433, step: 121     
epoch: 158, loss_vae: 39.74850221813902, loss_dqn: 7.5114680595788625, total: 20536, step: 103     
epoch: 159, loss_vae: 39.7193721022684, loss_dqn: 7.5060837405636365, total: 20665, step: 129     
epoch: 160, loss_vae: 39.681006615149414, loss_dqn: 7.50732849736536, total: 20848, step: 183     
epoch: 161, loss_vae: 39.6608076737201, loss_dqn: 7.509195104628276, total: 20944, step: 96     
epoch: 162, loss_vae: 39.63781603174743, loss_dqn: 7.509498881885469, total: 21056, step: 112     
epoch: 163, loss_vae: 39.61110746906705, loss_dqn: 7.510888821484405, total: 21189, step: 133     
epoch: 164, loss_vae: 39.58424023192646, loss_dqn: 7.510243617705675, total: 21325, step: 136     
epoch: 165, loss_vae: 39.556296963355805, loss_dqn: 7.509489769216824, total: 21452, step: 127     
epoch: 166, loss_vae: 39.5344901127443, loss_dqn: 7.507792310754605, total: 21551, step: 99     
epoch: 167, loss_vae: 39.49883768748868, loss_dqn: 7.500709854389235, total: 21723, step: 172     
epoch: 168, loss_vae: 39.47271187479605, loss_dqn: 7.495393084011335, total: 21853, step: 130     
epoch: 169, loss_vae: 39.45317337895832, loss_dqn: 7.494277325337821, total: 21951, step: 98     
