
test score: 1822.9333333333334, max tile: 256.0

epoch: 139, loss: 21.97775925389318, total: 17170, step: 164      
epoch: 140, loss: 21.887034420500495, total: 17345, step: 175      
epoch: 141, loss: 21.880722721903794, total: 17435, step: 90      
epoch: 142, loss: 21.828100810616874, total: 17515, step: 80      
epoch: 143, loss: 21.78407086188433, total: 17643, step: 128      
epoch: 144, loss: 21.724065876416308, total: 17832, step: 189      
epoch: 145, loss: 21.704177033131067, total: 17905, step: 73      
epoch: 146, loss: 21.659645747677455, total: 18013, step: 108      
epoch: 147, loss: 21.61537406962758, total: 18145, step: 132      
epoch: 148, loss: 21.54967891045707, total: 18313, step: 168      
epoch: 149, loss: 21.53819524434131, total: 18443, step: 130      
epoch: 150, loss: 21.498616954136434, total: 18695, step: 252      
epoch: 151, loss: 21.48143991299301, total: 18776, step: 81      
epoch: 152, loss: 21.46529401287497, total: 18885, step: 109      
epoch: 153, loss: 21.413787778243098, total: 19051, step: 166      
epoch: 154, loss: 21.441426414513177, total: 19167, step: 116      
epoch: 155, loss: 21.432398436925062, total: 19273, step: 106      
epoch: 156, loss: 21.389359180863362, total: 19406, step: 133      
epoch: 157, loss: 21.388430444412858, total: 19503, step: 97      
epoch: 158, loss: 21.4046261438192, total: 19635, step: 132      
epoch: 159, loss: 21.488487299971304, total: 19725, step: 90      
epoch: 160, loss: 21.509132057802404, total: 19795, step: 70      
epoch: 161, loss: 21.546569317707284, total: 19966, step: 171      
epoch: 162, loss: 21.54194600727648, total: 20077, step: 111      
epoch: 163, loss: 21.544050959058374, total: 20208, step: 131      
epoch: 164, loss: 21.52308696233829, total: 20337, step: 129      
epoch: 165, loss: 21.512053143764835, total: 20477, step: 140      
epoch: 166, loss: 21.478497510122285, total: 20626, step: 149      
epoch: 167, loss: 21.46067228819937, total: 20759, step: 133      
epoch: 168, loss: 21.436207380874166, total: 20901, step: 142      
epoch: 169, loss: 21.501130041015927, total: 20980, step: 79      
epoch: 170, loss: 21.459924817558075, total: 21080, step: 100      
epoch: 171, loss: 21.49790468727676, total: 21165, step: 85      
epoch: 172, loss: 21.499346340858512, total: 21313, step: 148      
epoch: 173, loss: 21.434116401223545, total: 21467, step: 154      
epoch: 174, loss: 21.41912388275693, total: 21522, step: 55      
epoch: 175, loss: 21.384440299124545, total: 21603, step: 81      
epoch: 176, loss: 21.394506308740528, total: 21722, step: 119      
epoch: 177, loss: 21.396701954338663, total: 21797, step: 75      
epoch: 178, loss: 21.3880121514532, total: 21926, step: 129      
